wgs_id	color	continent
SRR969380	#ffff99	Asia
SRR969381	#beaed4	Oceania
SRR969382	#f0027f	North America
SRR969384	#386cb0	Europe
SRR969385	#386cb0	Europe
SRR969386	#386cb0	Europe
SRR969387	#386cb0	Europe
SRR969388	#386cb0	Europe
SRR969389	#386cb0	Europe
SRR969391	#ffff99	Asia
SRR969392	#386cb0	Europe
SRR969393	#386cb0	Europe
SRR969394	#386cb0	Europe
SRR969395	#f0027f	North America
GCGS0277	#f0027f	North America
GCGS0839	#f0027f	North America
GCGS0605	#f0027f	North America
GCGS0287	#f0027f	North America
GCGS0613	#f0027f	North America
GCGS0766	#f0027f	North America
GCGS0624	#f0027f	North America
GCGS0625	#f0027f	North America
GCGS0440	#f0027f	North America
GCGS0782	#f0027f	North America
GCGS0647	#f0027f	North America
GCGS0462	#f0027f	North America
GCGS0855	#f0027f	North America
GCGS0673	#f0027f	North America
GCGS0294	#f0027f	North America
GCGS0796	#f0027f	North America
GCGS0682	#f0027f	North America
GCGS0797	#f0027f	North America
GCGS0683	#f0027f	North America
GCGS0684	#f0027f	North America
GCGS0798	#f0027f	North America
GCGS0498	#f0027f	North America
GCGS0588	#f0027f	North America
GCGS0410	#f0027f	North America
GCGS0626	#f0027f	North America
GCGS0627	#f0027f	North America
GCGS0628	#f0027f	North America
GCGS0629	#f0027f	North America
GCGS0773	#f0027f	North America
GCGS0774	#f0027f	North America
GCGS0648	#f0027f	North America
GCGS0799	#f0027f	North America
GCGS0504	#f0027f	North America
GCGS0710	#f0027f	North America
GCGS0711	#f0027f	North America
GCGS0310	#f0027f	North America
GCGS0538	#f0027f	North America
GCGS0540	#f0027f	North America
GCGS0541	#f0027f	North America
GCGS0547	#f0027f	North America
GCGS0728	#f0027f	North America
GCGS0261	#f0027f	North America
GCGS0318	#f0027f	North America
GCGS0359	#f0027f	North America
GCGS0840	#f0027f	North America
GCGS0400	#f0027f	North America
GCGS0843	#f0027f	North America
GCGS0630	#f0027f	North America
GCGS0631	#f0027f	North America
GCGS0650	#f0027f	North America
GCGS0783	#f0027f	North America
GCGS0443	#f0027f	North America
GCGS0651	#f0027f	North America
GCGS0784	#f0027f	North America
GCGS0664	#f0027f	North America
GCGS0480	#f0027f	North America
GCGS0491	#f0027f	North America
GCGS0686	#f0027f	North America
GCGS0688	#f0027f	North America
GCGS0689	#f0027f	North America
GCGS0499	#f0027f	North America
GCGS0506	#f0027f	North America
GCGS0507	#f0027f	North America
GCGS0508	#f0027f	North America
GCGS0509	#f0027f	North America
GCGS0303	#f0027f	North America
GCGS0718	#f0027f	North America
GCGS0525	#f0027f	North America
GCGS0870	#f0027f	North America
GCGS0322	#f0027f	North America
GCGS0569	#f0027f	North America
GCGS0351	#f0027f	North America
GCGS0273	#f0027f	North America
GCGS0374	#f0027f	North America
GCGS0275	#f0027f	North America
GCGS0249	#f0027f	North America
GCGS0276	#f0027f	North America
GCGS0595	#f0027f	North America
GCGS0621	#f0027f	North America
GCGS0293	#f0027f	North America
GCGS0795	#f0027f	North America
GCGS0703	#f0027f	North America
GCGS0500	#f0027f	North America
GCGS0502	#f0027f	North America
GCGS0503	#f0027f	North America
GCGS0304	#f0027f	North America
GCGS0255	#f0027f	North America
GCGS0526	#f0027f	North America
GCGS0305	#f0027f	North America
GCGS0865	#f0027f	North America
GCGS0314	#f0027f	North America
GCGS0315	#f0027f	North America
GCGS0316	#f0027f	North America
GCGS0554	#f0027f	North America
GCGS0584	#f0027f	North America
GCGS0746	#f0027f	North America
GCGS0373	#f0027f	North America
GCGS0425	#f0027f	North America
GCGS0427	#f0027f	North America
GCGS0616	#f0027f	North America
GCGS0432	#f0027f	North America
GCGS0620	#f0027f	North America
GCGS0433	#f0027f	North America
GCGS0781	#f0027f	North America
GCGS0459	#f0027f	North America
GCGS0788	#f0027f	North America
GCGS0789	#f0027f	North America
GCGS0522	#f0027f	North America
GCGS0461	#f0027f	North America
GCGS0475	#f0027f	North America
GCGS0669	#f0027f	North America
GCGS0680	#f0027f	North America
GCGS0919	#f0027f	North America
GCGS0827	#f0027f	North America
GCGS0582	#f0027f	North America
GCGS0583	#f0027f	North America
GCGS0747	#f0027f	North America
GCGS0748	#f0027f	North America
GCGS0749	#f0027f	North America
GCGS0524	#f0027f	North America
GCGS0819	#f0027f	North America
GCGS0256	#f0027f	North America
GCGS0324	#f0027f	North America
GCGS0265	#f0027f	North America
GCGS1104	#f0027f	North America
GCGS0248	#f0027f	North America
GCGS1097	#f0027f	North America
GCGS0362	#f0027f	North America
GCGS1098	#f0027f	North America
GCGS1096	#f0027f	North America
GCGS0278	#f0027f	North America
GCGS0281	#f0027f	North America
GCGS0599	#f0027f	North America
GCGS0389	#f0027f	North America
GCGS0390	#f0027f	North America
GCGS0606	#f0027f	North America
GCGS1099	#f0027f	North America
GCGS1100	#f0027f	North America
GCGS1102	#f0027f	North America
GCGS1101	#f0027f	North America
GCGS0761	#f0027f	North America
GCGS0775	#f0027f	North America
GCGS0442	#f0027f	North America
GCGS0536	#f0027f	North America
GCGS0309	#f0027f	North America
GCGS0546	#f0027f	North America
GCGS0734	#f0027f	North America
GCGS0735	#f0027f	North America
GCGS0270	#f0027f	North America
GCGS0364	#f0027f	North America
GCGS0365	#f0027f	North America
GCGS0366	#f0027f	North America
GCGS0407	#f0027f	North America
GCGS0286	#f0027f	North America
GCGS0251	#f0027f	North America
GCGS0702	#f0027f	North America
GCGS0501	#f0027f	North America
GCGS0709	#f0027f	North America
GCGS0812	#f0027f	North America
GCGS0306	#f0027f	North America
